Respondent ID,age,gender,marital status,years working,employer type,Area,title,supervisor sensitive to needs of others,supervisor devotes time to me,happy with supervisor communication,supervisor and I share understanding to achieve our goals,supervisor and I speak openly,supervisor and I talk intensively to solve problems,organization gives e-work training,e-work takes up personal time,if e-working often think about work outside regular hours,happy with work life balance if e-working,Constant access in e-working tiring,if e-working concentrate better on work,supervisor gives total control over for e-work,organization trusts effective in e-work,trust organization for e-work facilities,E-work makes me more effective,if interrupted at home while e-work still meet quality expectations,if e-work know when to switch off to rest,"work is flexible, can take off time in e-work",can flex hours if e-work compelted,demands higher when e-work,job productivity increased bec e-work,poor social life if e-work
13122402634,25 to 34,Male,Married,Between 4 and 5 years,Private Company,Business office,CFO,4,4,4,4,4,4,3,3,3,2,1,2,2,2,2,2,5,2,2,2,5,2,4
13122313296,25 to 34,Male,Married,Between 5 and 6 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Audit,Manager,3,3,3,2,2,3,5,3,5,4,5,4,3,4,3,4,4,3,3,4,5,5,2
13122282400,25 to 34,Male,Married,Over 6 years,Private Accounting,Tax,Manager,4,2,3,4,3,4,1,2,2,5,1,3,4,4,3,3,5,1,5,5,3,3,3
13122186053,25 to 34,Male,Married,Over 6 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Partner,3,3,2,3,3,3,2,4,4,3,4,4,3,3,4,4,4,4,3,4,4,4,3
13120216706,45 to 54,Male,Married,Over 6 years,Private Company,Tax,Director,3,3,3,3,3,2,3,3,3,2,3,3,4,2,3,3,3,3,3,3,3,3,3
13120204027,35 to 44,Male,Married,Over 6 years,Small Accounting Firm (1-5 partners),Tax,Partner,3,2,2,2,3,2,4,3,5,4,4,3,4,4,4,3,3,2,5,5,4,3,1
13120093131,25 to 34,Male,Married,Between 1 and 2 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Staff,4,3,2,3,4,3,3,3,3,5,2,4,4,5,5,5,5,4,4,5,3,4,1
13119398309,45 to 54,Male,Married,Over 6 years,"Large Accounting Firm, not big 4 -  (20+ partners)",Audit,Partner,3,1,2,3,2,3,,4,5,2,5,3,3,5,3,3,4,2,3,4,4,3,3
13119591726,18 to 24,Female,Married,Between 2 and 3 years,Midsize Accounting Firm (6-19 partners),finanacial reporting and/or analysis,Staff,3,1,3,,3,4,1,5,3,3,5,2,4,4,2,2,5,4,1,1,2,4,1
13119475130,25 to 34,Male,Married,Between 4 and 5 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Senior,2,1,2,2,3,3,4,4,4,4,2,2,5,5,4,3,4,4,3,4,2,4,3
13119071954,18 to 24,Female,Single,Under a year,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Audit,Staff,2,1,3,3,1,2,2,3,5,3,5,2,4,5,2,3,3,2,3,4,5,1,5
13118983340,18 to 24,Female,Single,Under a year,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Audit,Staff,3,4,3,3,3,2,5,4,3,3,4,3,2,5,4,3,4,4,3,3,4,4,2
13118965979,45 to 54,Male,Married,Over 6 years,Private Accounting,Tax,Director,4,3,4,4,4,3,2,4,4,2,5,5,4,5,5,5,5,4,2,5,5,5,4
13094635997,18 to 24,Male,Single,Under a year,Small Accounting Firm (1-5 partners),Tax,Intern,4,4,4,4,4,4,5,1,1,5,1,3,3,5,5,3,5,4,3,4,2,2,2
13091059439,25 to 34,Female,Single,Between 3 and 4 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Senior,3,2,2,3,2,3,5,4,4,4,4,2,3,4,4,3,5,3,3,4,3,2,2
13090941226,25 to 34,Male,Married,Between 4 and 5 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Senior,3,2,3,3,3,2,2,2,2,4,1,2,4,4,3,5,4,4,5,4,2,4,4
13090931548,25 to 34,Male,Married,Between 3 and 4 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Staff,1,1,1,1,2,2,1,2,4,4,2,5,3,5,5,5,5,5,5,4,4,5,5
13070079835,25 to 34,Male,Single,Between 1 and 2 years,Small Accounting Firm (1-5 partners),Tax,Staff,2,1,1,1,1,1,2,2,2,3,3,3,2,2,4,4,4,4,4,4,3,4,3
13043231627,25 to 34,Female,Married,Between 3 and 4 years,Private Accounting,Other ,Staff,4,3,4,3,3,,1,,3,3,,2,4,5,4,3,4,3,3,3,1,2,4
13043161203,25 to 34,Female,Married,Between 2 and 3 years,Private Accounting,Real Estate,controller,3,0,0,0,0,0,1,4,3,3,3,1,5,5,3,3,2,5,5,5,1,1,5
13036278355,18 to 24,Female,Single,Between 1 and 2 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Audit,Staff,3,3,3,4,4,4,4,2,3,2,2,5,4,4,4,5,4,4,3,3,3,3,5
13027981825,18 to 24,Female,Single,Under a year,"Large Accounting Firm, not big 4 -  (20+ partners)",Audit,Intern,4,4,4,3,3,4,3,4,4,1,4,1,3,5,5,2,2,2,3,2,3,1,3
13026764983,18 to 24,Male,Single,Under a year,"Large Accounting Firm, not big 4 -  (20+ partners)",Audit,Staff,4,4,4,4,4,4,5,4,5,5,2,3,3,5,5,4,5,5,3,5,2,4,1
13025456766,25 to 34,Male,Single,Under a year,Intern,Tax,unumployed,3,3,4,4,3,4,5,2,3,4,5,3,2,3,5,3,5,4,1,4,4,3,2
13025322413,18 to 24,Female,Single,Between 3 and 4 years,Small Accounting Firm (1-5 partners),Tax,Staff,4,4,4,4,4,4,5,3,4,3,5,1,5,5,5,1,5,2,5,5,4,5,5
13025132352,18 to 24,Female,Married,Between 1 and 2 years,Small Accounting Firm (1-5 partners),Tax,Staff,4,4,4,4,4,4,3,4,4,2,5,1,2,5,4,1,3,3,2,3,3,1,2
13025103420,18 to 24,Female,Single,Between 1 and 2 years,Midsize Accounting Firm (6-19 partners),Audit,Staff,3,3,2,3,2,1,3,5,3,2,3,2,2,4,3,2,4,2,3,3,3,2,1
13024860371,18 to 24,Female,Married,Between 2 and 3 years,Private Accounting,finanacial reporting and/or analysis,controller,4,4,3,4,3,4,2,5,5,3,4,2,4,5,5,3,3,4,5,2,3,5,5
13024758205,18 to 24,Female,Married,Between 1 and 2 years,Private Accounting,Bookkeeping ,Staff,4,3,4,4,3,2,3,1,2,4,3,3,4,5,4,3,5,4,2,4,2,3,2
13024625973,25 to 34,Male,Married,Under a year,"Large Accounting Firm, not big 4 -  (20+ partners)",Audit,Staff,2,2,2,2,1,2,3,2,4,5,1,5,5,5,3,5,4,4,4,5,3,3,4
13024618093,25 to 34,Male,Married,Between 1 and 2 years,"Large Accounting Firm, not big 4 -  (20+ partners)",Tax,Staff,0,1,3,3,4,2,1,1,1,3,4,1,5,5,5,5,5,4,1,4,1,1,1
13024608638,25 to 34,Male,Married,Between 3 and 4 years,Small Accounting Firm (1-5 partners),Tax,Senior,4,1,1,0,3,4,1,3,5,1,3,1,1,2,2,1,1,3,2,1,3,1,2
13024614018,18 to 24,Female,Married,Between 1 and 2 years,Midsize Accounting Firm (6-19 partners),Tax,Staff,4,1,4,4,3,2,4,4,4,3,2,3,3,5,4,4,4,4,2,4,2,5,2
13009459508,18 to 24,Male,Single,Under a year,"Large Accounting Firm, not big 4 -  (20+ partners)",Tax,Intern,3,3,2,3,3,2,5,4,5,3,4,3,4,4,4,4,4,2,4,4,3,2,2
12920292781,25 to 34,Female,Married,Over 6 years,Private Accounting,Consulting,Staff,2,0,1,2,1,1,1,1,1,5,2,4,3,5,4,5,5,5,2,5,1,5,2
12962796323,25 to 34,Female,Married,Over 6 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Senior Manager,2,3,3,3,3,4,4,5,5,3,5,5,5,5,4,4,5,2,4,5,3,3,5
12961317015,18 to 24,Male,Single,Under a year,Small Accounting Firm (1-5 partners),Tax,Intern,3,1,0,2,3,3,2,2,4,4,3,3,5,4,3,3,4,4,5,5,3,3,3
12960916328,25 to 34,Female,Married,Over 6 years,Private Accounting,finanacial reporting and/or analysis,Staff,1,1,0,0,3,1,2,1,4,3,3,4,5,5,5,3,4,4,5,5,2,4,3
12957948947,25 to 34,Male,Married,Between 5 and 6 years,Midsize Accounting Firm (6-19 partners),Tax,Staff,3,1,1,1,2,1,2,3,5,3,5,2,5,5,4,3,3,3,2,4,4,2,4
12957683528,25 to 34,Male,Married,Between 3 and 4 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Senior,4,4,4,4,4,4,1,4,4,3,3,4,5,5,5,5,4,2,2,3,2,4,4
12957493487,35 to 44,Male,Married,Over 6 years,Small Accounting Firm (1-5 partners),Tax,Manager,3,3,3,3,2,3,2,3,4,4,2,4,3,3,2,4,2,4,3,4,2,4,2
12957489788,18 to 24,Male,Married,Under a year,"Large Accounting Firm, not big 4 -  (20+ partners)",Tax,Staff,3,3,2,2,0,4,3,5,,1,5,5,3,4,4,4,2,4,5,5,5,5,5
12957279021,25 to 34,Female,Single,Over 6 years,"Large Accounting Firm, not big 4 -  (20+ partners)",Audit,Manager,4,3,4,4,3,3,5,3,4,4,4,2,3,4,5,2,3,3,2,4,4,2,2
12957406198,25 to 34,Male,Married,Between 4 and 5 years,PE/Family office/VC,controller,controller,1,0,2,1,1,0,1,4,4,1,3,1,5,4,1,2,3,1,4,2,2,1,2
12957269427,25 to 34,Male,Married,Between 5 and 6 years,Private Accounting,controller,Supervisor,4,4,4,4,4,4,3,3,5,3,3,5,4,5,3,3,5,3,1,1,1,4,3
12957242813,25 to 34,Female,Married,Between 2 and 3 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Senior,4,2,3,2,3,3,5,4,5,1,5,3,4,5,5,5,5,3,3,4,4,4,4
12957214328,25 to 34,Female,Married,Between 5 and 6 years,Small Accounting Firm (1-5 partners),Tax,Senior,3,4,4,3,4,4,5,3,5,3,5,3,5,5,5,3,5,5,5,5,3,3,3
12957207415,45 to 54,Male,Married,Over 6 years,Non-profit,controller,Director,3,2,3,3,3,4,2,2,3,4,1,4,4,5,5,4,4,2,4,4,1,3,1
12957193620,25 to 34,Male,Married,Between 4 and 5 years,Private Accounting,controller,controller,4,4,3,4,4,3,2,3,3,3,3,1,2,4,3,1,4,4,2,5,2,2,3
12936062646,18 to 24,Male,Single,Under a year,"Large Accounting Firm, not big 4 -  (20+ partners)",Tax,Intern,4,3,3,2,4,4,5,4,4,4,2,4,4,4,4,4,4,5,5,5,4,5,1
12935683399,25 to 34,Male,Married,Between 4 and 5 years,Private Accounting,Internal day to day,controller,3,2,3,3,3,3,5,2,1,5,1,,2,4,4,2,5,5,4,5,3,3,2
12934780724,25 to 34,Male,Married,Between 3 and 4 years,Midsize Accounting Firm (6-19 partners),Consulting,Senior Manager,4,2,1,2,2,3,3,3,2,4,2,3,2,2,2,4,3,4,2,2,2,4,5
12932648865,18 to 24,Male,Single,Between 1 and 2 years,"Large Accounting Firm, not big 4 -  (20+ partners)",Private Wealth Services,Intern,4,3,3,4,4,4,4,2,1,4,2,5,4,5,5,5,5,5,4,5,3,5,1
12932105561,18 to 24,Male,Single,Under a year,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Consulting,Intern,4,4,4,4,4,4,5,1,3,4,4,5,4,5,5,5,2,3,3,5,3,5,2
12930970004,25 to 34,Female,Single,Between 5 and 6 years,"Large Accounting Firm, not big 4 -  (20+ partners)",Audit,Senior,4,4,1,4,4,4,1,5,5,2,5,5,5,5,3,5,5,1,5,5,1,5,5
12926229322,25 to 34,Female,Married,Over 6 years,"Large Accounting Firm, not big 4 -  (20+ partners)",Tax,Senior,4,1,2,1,1,2,4,2,2,5,2,3,5,4,4,3,4,5,4,4,1,3,1
12925658326,25 to 34,Female,Married,Between 1 and 2 years,Small Accounting Firm (1-5 partners),Tax,Staff,1,2,1,1,0,1,3,4,2,2,4,4,2,5,3,3,4,2,4,4,3,4,4
12925594635,25 to 34,Male,Married,Between 5 and 6 years,Private Accounting,finanacial reporting and/or analysis,Senior,4,4,3,3,3,4,4,5,5,2,4,3,3,5,4,3,5,2,3,3,3,4,2
12921551789,25 to 34,Male,Married,Between 2 and 3 years,Small Accounting Firm (1-5 partners),Audit,Senior,3,3,4,4,4,3,1,5,5,3,4,2,2,5,4,2,3,3,2,4,4,5,3
12921524391,25 to 34,Female,Married,Over 6 years,Non-profit,finanacial reporting and/or analysis,Senior,4,3,4,3,4,4,1,2,4,4,5,2,5,3,1,3,4,3,5,5,3,3,3
12921400046,45 to 54,Male,Married,Over 6 years,Retail business,finanacial reporting and/or analysis,Manager,4,2,4,4,4,4,2,3,3,4,2,3,2,4,4,3,5,4,2,4,2,2,2
12921297494,25 to 34,Female,Married,Between 4 and 5 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Senior,3,2,4,3,2,3,4,5,4,3,4,4,3,5,5,3,5,4,4,3,4,4,4
12921187166,25 to 34,Male,Single,Between 3 and 4 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Audit,Senior,3,3,3,3,3,2,3,4,4,4,4,3,4,4,3,3,3,3,3,4,3,3,4
12921144422,25 to 34,Female,Single,Between 3 and 4 years,"Large Accounting Firm, not big 4 -  (20+ partners)",Audit,Senior,3,2,3,3,2,4,4,4,4,3,4,4,5,5,4,4,4,4,3,4,3,4,4
12921039002,25 to 34,Female,Single,Over 6 years,Small Accounting Firm (1-5 partners),Tax,Senior,3,4,4,3,4,4,2,2,4,2,4,2,2,4,1,2,5,5,4,4,4,4,3
12921033426,25 to 34,Male,Married,Over 6 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Audit,Senior Manager,4,4,4,4,4,4,5,4,3,5,3,3,5,5,5,5,5,5,3,4,3,3,3
12920876560,25 to 34,Male,Married,Over 6 years,Small Accounting Firm (1-5 partners),Tax,Manager,3,3,3,3,2,3,2,3,5,4,3,4,4,4,3,4,5,4,5,5,3,3,2
12920864973,25 to 34,Male,Single,Between 5 and 6 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Senior,3,2,2,3,4,2,1,5,5,4,5,2,3,4,2,3,4,1,4,4,2,3,4
12920720687,45 to 54,Female,Married,Over 6 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Audit,Staff,2,2,4,4,4,3,5,3,3,5,4,2,5,5,3,3,5,5,5,5,2,1,3
12920707512,18 to 24,Male,Married,Under a year,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Staff,4,3,4,4,4,4,5,1,1,4,3,2,5,5,5,4,4,5,5,5,1,1,1
12920670074,55 to 64,Male,Single,Over 6 years,Private Accounting,finanacial reporting and/or analysis,Senior Manager,3,4,3,3,4,3,1,3,5,3,5,4,5,5,5,3,5,4,5,5,3,4,5
12920634199,25 to 34,Female,Married,Over 6 years,Private Accounting,finanacial reporting and/or analysis,Senior,4,4,4,4,4,4,2,3,4,4,2,2,5,5,4,3,5,2,5,5,5,2,3
12920613804,25 to 34,Female,Married,Over 6 years,Private Accounting,finanacial reporting and/or analysis,CFO,3,2,3,3,4,3,2,4,5,4,4,3,5,5,4,4,4,3,4,5,2,2,2
12920544178,25 to 34,Female,Married,Over 6 years,Private Accounting,Consulting,Director,3,3,4,4,4,4,2,3,,4,3,4,5,4,5,5,5,4,4,4,3,4,3
12920344596,25 to 34,Male,Married,Between 1 and 2 years,Small Accounting Firm (1-5 partners),Tax,Staff,4,2,1,3,1,2,1,5,1,1,5,2,3,5,5,3,4,4,1,3,3,3,5
12920319358,25 to 34,Male,Single,Under a year,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Audit,Staff,4,3,4,4,4,4,5,4,3,5,3,5,4,4,4,4,4,2,3,4,3,3,4
12920257832,25 to 34,Male,Married,Between 2 and 3 years,"Large Accounting Firm, not big 4 -  (20+ partners)",Tax,Senior,4,4,4,4,4,4,2,5,4,3,3,1,2,5,5,2,4,2,2,5,1,2,3
12920288817,25 to 34,Male,Married,Between 2 and 3 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Senior,4,3,4,4,4,4,5,3,4,4,3,4,2,5,5,4,4,3,4,5,3,3,1
12920276092,25 to 34,Female,Married,Over 6 years,Small Accounting Firm (1-5 partners),Tax,Staff,4,4,4,4,4,4,1,3,3,5,3,4,5,5,5,4,5,5,5,5,1,4,1
12920252299,25 to 34,Female,Married,Over 6 years,Private Accounting,Outsourced accounting,Senior,3,3,4,3,3,3,3,3,4,3,4,2,4,5,4,3,4,2,4,5,4,2,3
12920242742,25 to 34,Male,Married,Between 3 and 4 years,Private Accounting,Private accounting ,Senior,2,3,,3,3,2,2,3,3,4,3,3,2,3,3,3,2,2,2,2,3,3,2
12920234412,25 to 34,Male,Single,Between 3 and 4 years,Midsize Accounting Firm (6-19 partners),Audit,Senior,3,4,4,4,4,4,3,3,4,3,4,4,5,5,5,4,4,4,5,4,4,4,4
12920234851,25 to 34,Female,Single,Over 6 years,Private Accounting,controller,Controller,3,3,4,4,3,3,1,4,5,2,5,3,3,5,3,3,4,1,3,4,4,3,5
12920217255,25 to 34,Female,Married,Between 5 and 6 years,"Large Accounting Firm, not big 4 -  (20+ partners)",Audit,Senior,2,1,3,3,2,3,4,2,3,4,2,4,4,5,5,4,5,4,4,5,3,4,2
12920197323,25 to 34,Female,Married,Between 4 and 5 years,"Large Accounting Firm, not big 4 -  (20+ partners)",Audit,Senior,3,1,1,2,2,1,3,5,4,3,5,3,5,5,1,4,5,2,2,2,5,5,2
12920187603,25 to 34,Male,Married,Between 4 and 5 years,Private Accounting,Consulting,Staff,4,3,4,3,4,3,3,4,4,2,5,2,3,2,4,3,2,2,4,4,2,2,4
12920180853,25 to 34,Female,Married,Between 5 and 6 years,Private Accounting,controller,Controller,4,4,4,4,4,4,1,4,5,2,5,3,4,4,3,2,4,2,3,4,2,2,5
12920181622,25 to 34,Male,Single,Between 4 and 5 years,"Large Accounting Firm, not big 4 -  (20+ partners)",Tax,Senior,4,4,3,4,3,4,4,3,2,5,2,5,5,5,4,5,5,2,4,5,2,5,3
12920178048,18 to 24,Male,Single,Between 2 and 3 years,Midsize Accounting Firm (6-19 partners),Audit,Staff,4,4,4,3,4,3,3,4,4,2,2,2,3,4,1,3,4,3,4,4,4,2,2
12920159514,25 to 34,Male,Married,Between 4 and 5 years,Small Accounting Firm (1-5 partners),Audit,Senior,4,3,4,4,4,4,3,2,4,5,3,5,5,5,4,5,5,5,4,5,3,4,3
12920162236,25 to 34,Male,Married,Over 6 years,Private Accounting,finanacial reporting and/or analysis,Supervisor,2,2,2,2,2,2,2,4,5,3,4,4,4,5,4,4,4,5,2,4,3,4,4
12920149845,25 to 34,Male,Married,Between 5 and 6 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Manager,4,2,4,4,4,4,5,1,5,4,3,3,5,5,5,4,5,5,3,5,3,3,1
12920153386,25 to 34,Female,Married,Over 6 years,Private Accounting,Real estate ,Controller,4,4,4,4,4,4,1,5,5,5,1,2,5,5,1,5,5,2,5,,2,3,5
12920148652,25 to 34,Male,Married,Over 6 years,CFO,finanacial reporting and/or analysis,CFO,4,3,4,4,4,4,3,5,5,3,4,1,4,5,5,3,5,1,3,5,1,3,1
12920147214,25 to 34,Male,Married,Between 2 and 3 years,Midsize Accounting Firm (6-19 partners),Audit,Staff,3,3,3,4,4,4,3,2,2,5,2,3,5,5,2,2,5,3,5,5,4,4,4
12920143955,35 to 44,Male,Married,Over 6 years,Insurance Regulator,Insurance regulation,Senior,1,2,4,2,4,2,5,1,1,5,1,5,5,5,5,5,5,5,5,5,1,5,1
12920142621,35 to 44,Male,Single,Over 6 years,"Large Accounting Firm, not big 4 -  (20+ partners)",Tax,Supervisor,3,2,3,3,3,2,3,4,5,3,4,1,4,4,4,2,3,1,5,4,4,3,3
12920147982,25 to 34,Male,Single,Between 3 and 4 years,"Big 4 Accounting Firm (Deloitte, PwC, E&Y, KPMG)",Tax,Staff,4,3,4,4,4,4,1,4,4,2,3,2,4,4,4,4,4,2,3,4,4,4,3
12960070636,25 to 34,Male,Single,Over 6 years,Small Accounting Firm (1-5 partners),Tax,Partner,,,,,,,,1,3,5,2,4,,,,5,5,5,5,5,,4,1
12920426768,25 to 34,Female,Single,Over 6 years,Small Accounting Firm (1-5 partners),Tax,Senior Manager,4,3,3,3,3,2,,,,,,,,,,,,,,,,,
