Respondent ID,Age,Gender,Married,Years_Working,Firm_type,Work_Area,job_title,sensitive_supervisor,supervisor_devotes_time,supervisor_communication,supervisor_inline_with_personal_goals,supervisor_speaks_openly,problem_solve_intensively,training_for_online_provided,e-working_takes_up_personal_time,e-work_consumes_personal_life,e_work_life_balance,constant_access_tiring,e-work_better_concentration,supervisor_gives_e-work_total_control,organization_trusts_e-work,trust_organization_for_e-work_facilities,e-work_makes_more_effective,interrupted_but_meet_expectations,cant_put_down_work,flexible_e-work,e-work_allows_me_to_meet_my_needs,e-work_higher_demands,e-work_job_productivity_increase,e-work_poor_social_life
1,1,1,0,1,0,0,0,3,3,3,4,4,4,4,2,3,2,2,5,4,4,4,5,4,4,3,3,3,3,5
2,1,1,0,0,1,0,1,4,4,4,3,3,4,3,4,4,1,4,1,3,5,5,2,2,2,3,2,3,1,3
3,1,0,0,0,1,0,0,4,4,4,4,4,4,5,4,5,5,2,3,3,5,5,4,5,5,3,5,2,4,1
4,2,0,0,0,,1,2,3,3,4,4,3,4,5,2,3,4,5,3,2,3,5,3,5,4,1,4,4,3,2
5,1,1,0,3,2,1,0,4,4,4,4,4,4,5,3,4,3,5,1,5,5,5,1,5,2,5,5,4,5,5
6,1,1,1,1,2,1,0,4,4,4,4,4,4,3,4,4,2,5,1,2,5,4,1,3,3,2,3,3,1,2
7,1,1,0,1,3,0,0,3,3,2,3,2,1,3,5,3,2,3,2,2,4,3,2,4,2,3,3,3,2,1
8,1,1,1,2,4,2,3,4,4,3,4,3,4,2,5,5,3,4,2,4,5,5,3,3,4,5,2,3,5,5
9,1,1,1,1,4,3,0,4,3,4,4,3,2,3,1,2,4,3,3,4,5,4,3,5,4,2,4,2,3,2
10,2,0,1,0,1,0,0,2,2,2,2,1,2,3,2,4,5,1,5,5,5,3,5,4,4,4,5,3,3,4
11,2,0,1,1,1,1,0,0,1,3,3,4,2,1,1,1,3,4,1,5,5,5,5,5,4,1,4,1,1,1
12,2,0,1,3,2,1,4,4,1,1,0,3,4,1,3,5,1,3,1,1,2,2,1,1,3,2,1,3,1,2
13,1,1,1,1,3,1,0,4,1,4,4,3,2,4,4,4,3,2,3,3,5,4,4,4,4,2,4,2,5,2
14,1,0,0,0,1,1,1,3,3,2,3,3,2,5,4,5,3,4,3,4,4,4,4,4,2,4,4,3,2,2
15,2,1,1,6,4,4,0,2,0,1,2,1,1,1,1,1,5,2,4,3,5,4,5,5,5,2,5,1,5,2
16,2,1,1,6,0,1,4,2,3,3,3,3,4,4,5,5,3,5,5,5,5,4,4,5,2,4,5,3,3,5
17,1,0,0,0,2,1,1,3,1,0,2,3,3,2,2,4,4,3,3,5,4,3,3,4,4,5,5,3,3,3
18,2,1,1,6,4,2,0,1,1,0,0,3,1,2,1,4,3,3,4,5,5,5,3,4,4,5,5,2,4,3
19,2,0,1,5,3,1,0,3,1,1,1,2,1,2,3,5,3,5,2,5,5,4,3,3,3,2,4,4,2,4
20,2,0,1,3,0,1,4,4,4,4,4,4,4,1,4,4,3,3,4,5,5,5,5,4,2,2,3,2,4,4
21,3,0,1,6,2,1,5,3,3,3,3,2,3,2,3,4,4,2,4,3,3,2,4,2,4,3,4,2,4,2
22,1,0,1,0,1,1,0,3,3,2,2,0,4,3,5,,1,5,5,3,4,4,4,2,4,5,5,5,5,5
23,2,1,0,6,1,0,5,4,3,4,4,3,3,5,3,4,4,4,2,3,4,5,2,3,3,2,4,4,2,2
24,2,0,1,4,,5,6,1,0,2,1,1,0,1,4,4,1,3,1,5,4,1,2,3,1,4,2,2,1,2
25,2,0,1,5,4,5,4,4,4,4,4,4,4,3,3,5,3,3,5,4,5,3,3,5,3,1,1,1,4,3
26,2,1,1,2,0,1,4,4,2,3,2,3,3,5,4,5,1,5,3,4,5,5,5,5,3,3,4,4,4,4
27,2,1,1,5,2,1,4,3,4,4,3,4,4,5,3,5,3,5,3,5,5,5,3,5,5,5,5,3,3,3
28,4,0,1,6,,5,6,3,2,3,3,3,4,2,2,3,4,1,4,4,5,5,4,4,2,4,4,1,3,1
29,2,0,1,4,4,5,3,4,4,3,4,4,3,2,3,3,3,3,1,2,4,3,1,4,4,2,5,2,2,3
30,1,0,0,0,1,1,1,4,3,3,2,4,4,5,4,4,4,2,4,4,4,4,4,4,5,5,5,4,5,1
31,2,0,1,4,4,3,3,3,2,3,3,3,3,5,2,1,5,1,,2,4,4,2,5,5,4,5,3,3,2
32,2,0,1,3,3,4,4,4,2,1,2,2,3,3,3,2,4,2,3,2,2,2,4,3,4,2,2,2,4,5
33,1,0,0,1,1,3,1,4,3,3,4,4,4,4,2,1,4,2,5,4,5,5,5,5,5,4,5,3,5,1
34,1,0,0,0,0,4,1,4,4,4,4,4,4,5,1,3,4,4,5,4,5,5,5,2,3,3,5,3,5,2
35,2,1,0,5,1,0,4,4,4,1,4,4,4,1,5,5,2,5,5,5,5,3,5,5,1,5,5,1,5,5
36,2,1,1,6,1,1,4,4,1,2,1,1,2,4,2,2,5,2,3,5,4,4,3,4,5,4,4,1,3,1
37,2,1,1,1,2,1,0,1,2,1,1,0,1,3,4,2,2,4,4,2,5,3,3,4,2,4,4,3,4,4
38,2,0,1,5,4,2,4,4,4,3,3,3,4,4,5,5,2,4,3,3,5,4,3,5,2,3,3,3,4,2
39,2,0,1,2,2,0,4,3,3,4,4,4,3,1,5,5,3,4,2,2,5,4,2,3,3,2,4,4,5,3
40,2,1,1,6,,2,4,4,3,4,3,4,4,1,2,4,4,5,2,5,3,1,3,4,3,5,5,3,3,3
41,4,0,1,6,,2,5,4,2,4,4,4,4,2,3,3,4,2,3,2,4,4,3,5,4,2,4,2,2,2
42,2,1,1,4,0,1,4,3,2,4,3,2,3,4,5,4,3,4,4,3,5,5,3,5,4,4,3,4,4,4
43,2,0,0,3,0,0,4,3,3,3,3,3,2,3,4,4,4,4,3,4,4,3,3,3,3,3,4,3,3,4
44,2,1,0,3,1,0,4,3,2,3,3,2,4,4,4,4,3,4,4,5,5,4,4,4,4,3,4,3,4,4
45,2,1,0,6,2,1,4,3,4,4,3,4,4,2,2,4,2,4,2,2,4,1,2,5,5,4,4,4,4,3
46,2,0,1,6,0,0,4,4,4,4,4,4,4,5,4,3,5,3,3,5,5,5,5,5,5,3,4,3,3,3
47,2,0,1,6,2,1,5,3,3,3,3,2,3,2,3,5,4,3,4,4,4,3,4,5,4,5,5,3,3,2
48,2,0,0,5,0,1,4,3,2,2,3,4,2,1,5,5,4,5,2,3,4,2,3,4,1,4,4,2,3,4
49,4,1,1,6,0,0,0,2,2,4,4,4,3,5,3,3,5,4,2,5,5,3,3,5,5,5,5,2,1,3
50,1,0,1,0,0,1,0,4,3,4,4,4,4,5,1,1,4,3,2,5,5,5,4,4,5,5,5,1,1,1
51,5,0,0,6,4,2,6,3,4,3,3,4,3,1,3,5,3,5,4,5,5,5,3,5,4,5,5,3,4,5
52,2,1,1,6,4,2,4,4,4,4,4,4,4,2,3,4,4,2,2,5,5,4,3,5,2,5,5,5,2,3
53,2,1,1,6,4,2,6,3,2,3,3,4,3,2,4,5,4,4,3,5,5,4,4,4,3,4,5,2,2,2
54,2,1,1,6,4,4,6,3,3,4,4,4,4,2,3,,4,3,4,5,4,5,5,5,4,4,4,3,4,3
55,2,0,1,1,2,1,0,4,2,1,3,1,2,1,5,1,1,5,2,3,5,5,3,4,4,1,3,3,3,5
56,2,0,0,0,0,0,0,4,3,4,4,4,4,5,4,3,5,3,5,4,4,4,4,4,2,3,4,3,3,4
57,2,0,1,2,1,1,4,4,4,4,4,4,4,2,5,4,3,3,1,2,5,5,2,4,2,2,5,1,2,3
58,2,0,1,2,0,1,4,4,3,4,4,4,4,5,3,4,4,3,4,2,5,5,4,4,3,4,5,3,3,1
59,2,1,1,6,2,1,0,4,4,4,4,4,4,1,3,3,5,3,4,5,5,5,4,5,5,5,5,1,4,1
60,2,1,1,6,4,3,4,3,3,4,3,3,3,3,3,4,3,4,2,4,5,4,3,4,2,4,5,4,2,3
61,2,0,1,3,4,3,4,2,3,,3,3,2,2,3,3,4,3,3,2,3,3,3,2,2,2,2,3,3,2
62,2,0,0,3,3,0,4,3,4,4,4,4,4,3,3,4,3,4,4,5,5,5,4,4,4,5,4,4,4,4
63,2,1,0,6,4,5,3,3,3,4,4,3,3,1,4,5,2,5,3,3,5,3,3,4,1,3,4,4,3,5
64,2,1,1,5,1,0,4,2,1,3,3,2,3,4,2,3,4,2,4,4,5,5,4,5,4,4,5,3,4,2
65,2,1,1,4,1,0,4,3,1,1,2,2,1,3,5,4,3,5,3,5,5,1,4,5,2,2,2,5,5,2
66,2,0,1,4,4,4,0,4,3,4,3,4,3,3,4,4,2,5,2,3,2,4,3,2,2,4,4,2,2,4
67,2,1,1,5,4,5,3,4,4,4,4,4,4,1,4,5,2,5,3,4,4,3,2,4,2,3,4,2,2,5
68,2,0,0,4,1,1,4,4,4,3,4,3,4,4,3,2,5,2,5,5,5,4,5,5,2,4,5,2,5,3
69,1,0,0,2,3,0,0,4,4,4,3,4,3,3,4,4,2,2,2,3,4,1,3,4,3,4,4,4,2,2
70,2,0,1,4,2,0,4,4,3,4,4,4,4,3,2,4,5,3,5,5,5,4,5,5,5,4,5,3,4,3
71,2,0,1,6,4,2,4,2,2,2,2,2,2,2,4,5,3,4,4,4,5,4,4,4,5,2,4,3,4,4
72,2,0,1,5,0,1,5,4,2,4,4,4,4,5,1,5,4,3,3,5,5,5,4,5,5,3,5,3,3,1
73,2,1,1,6,4,3,3,4,4,4,4,4,4,1,5,5,5,1,2,5,5,1,5,5,2,5,,2,3,5
74,2,0,1,6,,2,6,4,3,4,4,4,4,3,5,5,3,4,1,4,5,5,3,5,1,3,5,1,3,1
75,2,0,1,2,3,0,0,3,3,3,4,4,4,3,2,2,5,2,3,5,5,2,2,5,3,5,5,4,4,4
76,3,0,1,6,,3,4,1,2,4,2,4,2,5,1,1,5,1,5,5,5,5,5,5,5,5,5,1,5,1
77,3,0,0,6,1,1,4,3,2,3,3,3,2,3,4,5,3,4,1,4,4,4,2,3,1,5,4,4,3,3
78,2,0,0,3,0,1,0,4,3,4,4,4,4,1,4,4,2,3,2,4,4,4,4,4,2,3,4,4,4,3
